   BENCHMARK INFORMATION
benchmark definition:    java-ranger-svcomp.xml
name:                    java-ranger-svcomp
run sets:                SVCOMP-ReachSafety-Java.ReachSafety-Java
date:                    Wed, 2026-07-01 20:20:56 +01
tool:                    Java Ranger 2025
tool executable:         /home/salmane/bin/jr-sv-comp
options:
resource limits:
- memory:                3000.0 MB
- time:                  900 s
- cpu cores:             4
hardware requirements:
- cpu cores:             4
- memory:                3000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    salmane-VivoBook-ASUSLaptop-X515EP-X515EP
os:                      Linux-6.17.0-35-generic-x86_64-with-glibc2.39
cpu:                     11th Gen Intel Core i5-1135G7 @ 2.40GHz
- cores:                 8
- max frequency:         4200.0 MHz
- turbo boost enabled:   True
ram:                     8005.804032 MB
------------------------------------------------------------



SVCOMP-ReachSafety-Java.ReachSafety-Java
Run set 1 of 1 with options '' and propertyfile 'None'

inputfile                                                                                                               status                       cpu time   wall time        host
jbmc-regression/StringIndexMethods02.yml                                                                                false                            8.64        2.99        None
jbmc-regression/StringIndexMethods03.yml                                                                                unknown                          9.05        3.08        None
jbmc-regression/StringIndexMethods04.yml                                                                                false                            8.41        2.92        None
jbmc-regression/StringIndexMethods05.yml                                                                                unknown                          8.50        2.98        None
jbmc-regression/StringMiscellaneous01.yml                                                                               true                             3.59        1.49        None
jbmc-regression/StringMiscellaneous02.yml                                                                               false                           10.64        3.63        None
jbmc-regression/StringMiscellaneous03.yml                                                                               false                            9.98        3.51        None
jbmc-regression/StringMiscellaneous04.yml                                                                               true                             3.01        1.28        None
jbmc-regression/StringStartEnd01.yml                                                                                    true                             2.81        1.16        None
jbmc-regression/StringStartEnd02.yml                                                                                    false                            3.47        1.60        None
jbmc-regression/StringStartEnd03.yml                                                                                    false                            3.26        1.36        None
jbmc-regression/StringValueOf01.yml                                                                                     true                             2.63        1.12        None
jbmc-regression/StringValueOf02.yml                                                                                     false                            3.13        1.33        None
jbmc-regression/StringValueOf03.yml                                                                                     false                            2.79        1.20        None
jbmc-regression/StringValueOf04.yml                                                                                     false                            3.22        1.37        None
jbmc-regression/StringValueOf05.yml                                                                                     false                            8.76        3.17        None
jbmc-regression/StringValueOf06.yml                                                                                     false                            3.67        1.65        None
jbmc-regression/StringValueOf07.yml                                                                                     unknown                          3.91        1.72        None
jbmc-regression/StringValueOf08.yml                                                                                     unknown                          3.66        1.65        None
jbmc-regression/StringValueOf09.yml                                                                                     unknown                          3.70        1.68        None
jbmc-regression/StringValueOf10.yml                                                                                     false                            4.12        1.77        None
jbmc-regression/SubString01.yml                                                                                         true                             3.38        1.51        None
jbmc-regression/SubString02.yml                                                                                         false                            3.96        1.72        None
jbmc-regression/SubString03.yml                                                                                         false                            3.13        1.37        None
jbmc-regression/TokenTest01.yml                                                                                         true                             2.93        1.20        None
jbmc-regression/TokenTest02.yml                                                                                         unknown                          2.81        1.21        None
jbmc-regression/Validate01.yml                                                                                          true                             3.45        1.50        None
jbmc-regression/Validate02.yml                                                                                          unknown                          3.51        1.56        None
jbmc-regression/aastore_aaload1.yml                                                                                     true                            20.34        9.09        None
jbmc-regression/array1.yml                                                                                              unknown                         18.15        6.65        None
jbmc-regression/array2.yml                                                                                              true                            12.54        4.48        None
jbmc-regression/arraylength1.yml                                                                                        unknown                         13.21        4.49        None
jbmc-regression/arrayread1.yml                                                                                          unknown                         11.89        4.09        None
jbmc-regression/assert1.yml                                                                                             true                             9.65        3.47        None
jbmc-regression/assert2.yml                                                                                             false                           10.92        3.89        None
jbmc-regression/assert3.yml                                                                                             false                            9.66        3.62        None
jbmc-regression/assert4.yml                                                                                             false                           10.64        3.80        None
jbmc-regression/assert5.yml                                                                                             true                             8.84        3.11        None
jbmc-regression/assert6.yml                                                                                             true                             8.64        3.02        None
jbmc-regression/astore_aload1.yml                                                                                       true                             3.05        1.36        None
jbmc-regression/athrow1.yml                                                                                             false                            2.64        1.14        None
jbmc-regression/basic1.yml                                                                                              true                             2.68        1.11        None
jbmc-regression/bitwise1.yml                                                                                            true                             8.36        2.95        None
jbmc-regression/boolean1.yml                                                                                            true                             8.88        3.11        None
jbmc-regression/boolean2.yml                                                                                            true                             8.39        3.05        None
jbmc-regression/bug-test-gen-095.yml                                                                                    false                            3.89        1.73        None
jbmc-regression/bug-test-gen-119-2.yml                                                                                  true                             2.75        1.19        None
jbmc-regression/bug-test-gen-119.yml                                                                                    true                             9.95        3.41        None
jbmc-regression/calc.yml                                                                                                unknown                         10.13        3.63        None
jbmc-regression/cast1.yml                                                                                               true                            96.19       88.67        None
jbmc-regression/catch1.yml                                                                                              true                             2.72        1.17        None
jbmc-regression/char1.yml                                                                                               true                             8.19        2.98        None
jbmc-regression/charArray.yml                                                                                           unknown                          8.01        2.91        None
jbmc-regression/classtest1.yml                                                                                          true                             2.80        1.24        None
jbmc-regression/const1.yml                                                                                              true                             2.60        1.09        None
jbmc-regression/constructor1.yml                                                                                        true                             2.56        1.11        None
jbmc-regression/enum1.yml                                                                                               true                             2.62        1.12        None
jbmc-regression/exceptions1.yml                                                                                         false                            2.65        1.12        None
jbmc-regression/exceptions10.yml                                                                                        false                            2.61        1.11        None
jbmc-regression/exceptions11.yml                                                                                        false                            2.78        1.16        None
jbmc-regression/exceptions12.yml                                                                                        false                            2.73        1.15        None
jbmc-regression/exceptions13.yml                                                                                        false                            2.74        1.16        None
jbmc-regression/exceptions14.yml                                                                                        true                             2.67        1.11        None
jbmc-regression/exceptions15.yml                                                                                        true                             2.74        1.16        None
jbmc-regression/exceptions16.yml                                                                                        false                            2.81        1.19        None
jbmc-regression/exceptions18.yml                                                                                        true                             2.71        1.15        None
jbmc-regression/exceptions2.yml                                                                                         false                            2.95        1.30        None
jbmc-regression/exceptions3.yml                                                                                         false                            2.73        1.15        None
jbmc-regression/exceptions4.yml                                                                                         true                             2.67        1.14        None
jbmc-regression/exceptions5.yml                                                                                         true                             2.73        1.17        None
jbmc-regression/exceptions6.yml                                                                                         false                            2.76        1.13        None
jbmc-regression/exceptions7.yml                                                                                         false                            2.81        1.16        None
jbmc-regression/exceptions8.yml                                                                                         false                            2.68        1.15        None
jbmc-regression/exceptions9.yml                                                                                         true                             2.73        1.18        None
jbmc-regression/fcmpx_dcmpx1.yml                                                                                        true                             2.63        1.14        None
jbmc-regression/iarith1.yml                                                                                             true                             2.68        1.13        None
jbmc-regression/iarith2.yml                                                                                             true                             2.79        1.18        None
jbmc-regression/if_acmp1.yml                                                                                            true                             3.01        1.34        None
jbmc-regression/if_expr1.yml                                                                                            true                             9.32        3.24        None
jbmc-regression/if_icmp1.yml                                                                                            true                            11.24        4.05        None
jbmc-regression/ifxx1.yml                                                                                               true                             3.26        1.54        None
jbmc-regression/instanceof1.yml                                                                                         true                             3.19        1.38        None
jbmc-regression/instanceof2.yml                                                                                         true                             2.93        1.25        None
jbmc-regression/instanceof3.yml                                                                                         true                             3.43        1.46        None
jbmc-regression/instanceof4.yml                                                                                         true                             3.76        1.81        None
jbmc-regression/instanceof5.yml                                                                                         true                             3.69        1.62        None
jbmc-regression/instanceof6.yml                                                                                         true                             3.28        1.45        None
