   BENCHMARK INFORMATION
benchmark definition:    java-ranger-svcomp.xml
name:                    java-ranger-svcomp
run sets:                SVCOMP-ReachSafety-Java.ReachSafety-Java
date:                    Wed, 2026-07-01 08:10:04 +01
tool:                    Java Ranger 2025
tool executable:         /home/salmane/bin/jr-sv-comp
options:
resource limits:
- memory:                3000.0 MB
- time:                  900 s
- cpu cores:             4
hardware requirements:
- cpu cores:             4
- memory:                3000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    salmane-VivoBook-ASUSLaptop-X515EP-X515EP
os:                      Linux-6.17.0-35-generic-x86_64-with-glibc2.39
cpu:                     11th Gen Intel Core i5-1135G7 @ 2.40GHz
- cores:                 8
- max frequency:         4200.0 MHz
- turbo boost enabled:   True
ram:                     8005.804032 MB
------------------------------------------------------------



SVCOMP-ReachSafety-Java.ReachSafety-Java
Run set 1 of 1 with options '' and propertyfile 'None'

inputfile                                                                                                               status                       cpu time   wall time        host
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
jayhorn-recursive/Ackermann01.yml                                                                                       false                            6.87        2.57        None
jayhorn-recursive/Addition.yml                                                                                          unknown                        606.63      166.56        None
jayhorn-recursive/InfiniteLoop.yml                                                                                      false                            9.59        3.80        None
jayhorn-recursive/SatAckermann01.yml                                                                                    unknown                        800.84      217.37        None
jayhorn-recursive/SatAckermann02.yml                                                                                    unknown                        800.63      217.91        None
jayhorn-recursive/SatAckermann03.yml                                                                                    unknown                        800.74      219.89        None
jayhorn-recursive/SatAddition01.yml                                                                                     unknown                        800.86      217.53        None
jayhorn-recursive/SatEvenOdd01.yml                                                                                      true                            46.34       22.05        None
jayhorn-recursive/SatFibonacci01.yml                                                                                    true                           829.93      739.04        None
jayhorn-recursive/SatFibonacci02.yml                                                                                    true                             2.71        1.28        None
jayhorn-recursive/SatFibonacci03.yml                                                                                    true                           845.07      725.66        None
jayhorn-recursive/SatGcd.yml                                                                                            unknown                        572.90      154.86        None
jayhorn-recursive/SatHanoi01.yml                                                                                        true                           809.22      472.38        None
jayhorn-recursive/SatMccarthy91.yml                                                                                     true                           812.51      770.96        None
jayhorn-recursive/SatMultCommutative01.yml                                                                              unknown                        465.47      127.90        None
jayhorn-recursive/SatPrimes01.yml                                                                                       unknown                        536.83      145.38        None
jayhorn-recursive/UnsatAckermann01.yml                                                                                  unknown                        500.93      140.90        None
jayhorn-recursive/UnsatAddition01.yml                                                                                   unknown                        572.42      156.46        None
jayhorn-recursive/UnsatAddition02.yml                                                                                   unknown                        800.77      213.73        None
jayhorn-recursive/UnsatEvenOdd01.yml                                                                                    false                            7.87        2.90        None
jayhorn-recursive/UnsatFibonacci01.yml                                                                                  false                            8.44        2.93        None
jayhorn-recursive/UnsatFibonacci02.yml                                                                                  false                            9.41        3.27        None
jayhorn-recursive/UnsatMccarthy91.yml                                                                                   false                            8.76        3.03        None
jbmc-regression/ArithmeticException1.yml                                                                                false                            3.12        1.38        None
jbmc-regression/ArithmeticException5.yml                                                                                true                             2.39        1.01        None
jbmc-regression/ArithmeticException6.yml                                                                                false                            2.87        1.20        None
jbmc-regression/ArrayIndexOutOfBoundsException1.yml                                                                     false                            8.82        3.04        None
jbmc-regression/ArrayIndexOutOfBoundsException2.yml                                                                     false                            9.89        3.68        None
jbmc-regression/ArrayIndexOutOfBoundsException3.yml                                                                     false                            2.84        1.22        None
jbmc-regression/BufferedReaderReadLine.yml                                                                              false                            8.85        3.06        None
jbmc-regression/CharSequenceBug.yml                                                                                     false                            8.64        2.98        None
jbmc-regression/CharSequenceToString.yml                                                                                true                             8.48        2.97        None
jbmc-regression/ClassCastException1.yml                                                                                 false                            2.67        1.16        None
jbmc-regression/ClassCastException2.yml                                                                                 true                             3.28        1.43        None
jbmc-regression/ClassCastException3.yml                                                                                 false                            2.87        1.22        None
jbmc-regression/Class_method1.yml                                                                                       true                             3.13        1.32        None
jbmc-regression/Inheritance1.yml                                                                                        true                             2.46        1.05        None
jbmc-regression/NegativeArraySizeException1.yml                                                                         false                            2.87        1.27        None
jbmc-regression/NegativeArraySizeException2.yml                                                                         false                            3.02        1.33        None
jbmc-regression/NullPointerException1.yml                                                                               true                             2.70        1.16        None
jbmc-regression/NullPointerException2.yml                                                                               false                            2.70        1.13        None
jbmc-regression/NullPointerException3.yml                                                                               false                            2.51        1.06        None
jbmc-regression/NullPointerException4.yml                                                                               false                            2.65        1.11        None
jbmc-regression/RegexMatches01.yml                                                                                      true                             2.83        1.20        None
jbmc-regression/RegexMatches02.yml                                                                                      unknown                          3.13        1.38        None
jbmc-regression/RegexSubstitution01.yml                                                                                 true                             3.50        1.55        None
jbmc-regression/RegexSubstitution02.yml                                                                                 unknown                          2.54        1.09        None
jbmc-regression/RegexSubstitution03.yml                                                                                 true                             2.61        1.06        None
jbmc-regression/StaticCharMethods01.yml                                                                                 true                             2.38        1.01        None
jbmc-regression/StaticCharMethods02.yml                                                                                 false                            9.33        3.25        None
jbmc-regression/StaticCharMethods03.yml                                                                                 unknown                          7.82        2.63        None
jbmc-regression/StaticCharMethods04.yml                                                                                 false                            7.41        2.64        None
jbmc-regression/StaticCharMethods05.yml                                                                                 unknown                          2.62        1.09        None
jbmc-regression/StaticCharMethods06.yml                                                                                 unknown                          7.82        2.73        None
jbmc-regression/StringBuilderAppend01.yml                                                                               true                             7.98        2.74        None
jbmc-regression/StringBuilderAppend02.yml                                                                               unknown                          2.69        1.13        None
jbmc-regression/StringBuilderCapLen01.yml                                                                               true                             2.94        1.27        None
jbmc-regression/StringBuilderCapLen02.yml                                                                               false                            3.00        1.27        None
jbmc-regression/StringBuilderCapLen03.yml                                                                               false                            8.21        2.94        None
jbmc-regression/StringBuilderCapLen04.yml                                                                               unknown                          2.69        1.15        None
jbmc-regression/StringBuilderChars01.yml                                                                                true                             2.58        1.08        None
jbmc-regression/StringBuilderChars02.yml                                                                                false                            3.10        1.30        None
jbmc-regression/StringBuilderChars03.yml                                                                                unknown                          2.50        1.07        None
jbmc-regression/StringBuilderChars04.yml                                                                                unknown                          2.46        1.03        None
jbmc-regression/StringBuilderChars05.yml                                                                                unknown                          2.42        1.02        None
jbmc-regression/StringBuilderChars06.yml                                                                                unknown                          2.53        1.05        None
jbmc-regression/StringBuilderConstructors01.yml                                                                         true                             8.59        3.05        None
jbmc-regression/StringBuilderConstructors02.yml                                                                         unknown                          2.50        1.05        None
jbmc-regression/StringBuilderInsertDelete01.yml                                                                         true                             2.67        1.12        None
jbmc-regression/StringBuilderInsertDelete02.yml                                                                         unknown                          2.39        1.00        None
jbmc-regression/StringBuilderInsertDelete03.yml                                                                         unknown                          3.14        1.37        None
jbmc-regression/StringCompare01.yml                                                                                     true                             2.73        1.14        None
jbmc-regression/StringCompare02.yml                                                                                     unknown                          2.73        1.17        None
jbmc-regression/StringCompare03.yml                                                                                     unknown                          2.56        1.09        None
jbmc-regression/StringCompare04.yml                                                                                     unknown                          2.45        1.04        None
jbmc-regression/StringCompare05.yml                                                                                     false                            7.44        2.57        None
jbmc-regression/StringConcatenation01.yml                                                                               unknown                          2.40        1.01        None
jbmc-regression/StringConcatenation02.yml                                                                               unknown                          2.44        1.04        None
jbmc-regression/StringConcatenation03.yml                                                                               false                            2.83        1.18        None
jbmc-regression/StringConcatenation04.yml                                                                               false                            2.80        1.16        None
jbmc-regression/StringConstructors01.yml                                                                                true                             2.52        1.07        None
jbmc-regression/StringConstructors02.yml                                                                                false                            2.99        1.22        None
jbmc-regression/StringConstructors03.yml                                                                                unknown                          2.32        0.98        None
jbmc-regression/StringConstructors04.yml                                                                                false                            2.90        1.19        None
jbmc-regression/StringConstructors05.yml                                                                                false                            2.75        1.18        None
jbmc-regression/StringContains01.yml                                                                                    false                            2.71        1.13        None
jbmc-regression/StringContains02.yml                                                                                    false                            2.72        1.14        None
jbmc-regression/StringIndexMethods01.yml                                                                                true                             2.32        0.99        None
jbmc-regression/StringIndexMethods02.yml                                                                                false                            7.54        2.59        None
jbmc-regression/StringIndexMethods03.yml                                                                                unknown                          8.34        2.85        None
jbmc-regression/StringIndexMethods04.yml                                                                                false                            8.01        2.78        None
jbmc-regression/StringIndexMethods05.yml                                                                                unknown                          9.79        3.34        None
jbmc-regression/StringMiscellaneous01.yml                                                                               true                             3.01        1.30        None
jbmc-regression/StringMiscellaneous02.yml                                                                               false                            8.96        3.18        None
jbmc-regression/StringMiscellaneous03.yml                                                                               false                            8.58        3.11        None
jbmc-regression/StringMiscellaneous04.yml                                                                               true                             2.59        1.08        None
jbmc-regression/StringStartEnd01.yml                                                                                    true                             2.76        1.15        None
jbmc-regression/StringStartEnd02.yml                                                                                    unknown                          3.13        1.33        None
jbmc-regression/StringStartEnd03.yml                                                                                    unknown                          3.24        1.44        None
jbmc-regression/StringValueOf01.yml                                                                                     true                             3.19        1.42        None
jbmc-regression/StringValueOf02.yml                                                                                     false                            3.79        1.74        None
jbmc-regression/StringValueOf03.yml                                                                                     unknown                          2.62        1.15        None
jbmc-regression/StringValueOf04.yml                                                                                     false                            3.67        1.59        None
jbmc-regression/StringValueOf05.yml                                                                                     unknown                          2.59        1.13        None
jbmc-regression/StringValueOf06.yml                                                                                     false                            2.81        1.17        None
jbmc-regression/StringValueOf07.yml                                                                                     unknown                          2.69        1.12        None
jbmc-regression/StringValueOf08.yml                                                                                     unknown                          2.38        1.02        None
jbmc-regression/StringValueOf09.yml                                                                                     unknown                          2.42        1.02        None
jbmc-regression/StringValueOf10.yml                                                                                     false                            3.00        1.26        None
jbmc-regression/SubString01.yml                                                                                         true                             2.56        1.08        None
jbmc-regression/SubString02.yml                                                                                         false                            2.89        1.22        None
jbmc-regression/SubString03.yml                                                                                         false                            2.85        1.23        None
jbmc-regression/TokenTest01.yml                                                                                         true                             2.49        1.03        None
jbmc-regression/TokenTest02.yml                                                                                         unknown                          2.35        0.98        None
jbmc-regression/Validate01.yml                                                                                          true                             2.49        1.06        None
jbmc-regression/Validate02.yml                                                                                          unknown                          3.00        1.32        None
jbmc-regression/aastore_aaload1.yml                                                                                     true                            15.34        6.49        None
jbmc-regression/array1.yml                                                                                              unknown                         15.97        6.01        None
jbmc-regression/array2.yml                                                                                              true                             8.27        2.83        None
jbmc-regression/arraylength1.yml                                                                                        unknown                         11.16        3.68        None
jbmc-regression/arrayread1.yml                                                                                          unknown                          8.66        3.05        None
jbmc-regression/assert1.yml                                                                                             true                             8.96        3.06        None
jbmc-regression/assert2.yml                                                                                             false                            8.81        2.95        None
jbmc-regression/assert3.yml                                                                                             false                            8.76        3.02        None
jbmc-regression/assert4.yml                                                                                             false                            7.63        2.70        None
jbmc-regression/assert5.yml                                                                                             true                             7.59        2.68        None
jbmc-regression/assert6.yml                                                                                             true                             8.61        3.00        None
jbmc-regression/astore_aload1.yml                                                                                       true                             2.68        1.15        None
jbmc-regression/athrow1.yml                                                                                             false                            2.51        1.07        None
jbmc-regression/basic1.yml                                                                                              true                             2.41        1.00        None
jbmc-regression/bitwise1.yml                                                                                            true                             9.63        3.43        None
jbmc-regression/boolean1.yml                                                                                            true                            10.38        3.54        None
jbmc-regression/boolean2.yml                                                                                            true                            10.95        4.09        None
jbmc-regression/bug-test-gen-095.yml                                                                                    false                            2.91        1.23        None
jbmc-regression/bug-test-gen-119-2.yml                                                                                  true                             2.43        1.01        None
jbmc-regression/bug-test-gen-119.yml                                                                                    true                             8.06        2.74        None
jbmc-regression/calc.yml                                                                                                unknown                          8.11        2.74        None
jbmc-regression/cast1.yml                                                                                               true                            97.99       92.36        None
jbmc-regression/catch1.yml                                                                                              true                             3.29        1.61        None
jbmc-regression/char1.yml                                                                                               true                            11.18        4.21        None
jbmc-regression/charArray.yml                                                                                           unknown                         11.36        3.98        None
jbmc-regression/classtest1.yml                                                                                          true                             3.06        1.38        None
jbmc-regression/const1.yml                                                                                              true                             3.39        1.46        None
jbmc-regression/constructor1.yml                                                                                        true                             3.32        1.49        None
jbmc-regression/enum1.yml                                                                                               true                             3.64        1.58        None
jbmc-regression/exceptions1.yml                                                                                         false                            3.32        1.46        None
jbmc-regression/exceptions10.yml                                                                                        false                            3.17        1.36        None
jbmc-regression/exceptions11.yml                                                                                        false                            3.16        1.39        None
jbmc-regression/exceptions12.yml                                                                                        false                            3.19        1.40        None
